Timestamp,Hey guys! I just saw that a penguin escaped.,I'm going out with the guys. You can deal with the penguins.,We're going to need to hire a Python guy to deal with our penguin problems.,This would never have happened if the Java guys were here.,That penguin is such a good guy,Those guys dealt with the penguin emergency so professionally.,I met a great Erlang guy the other day who knows how to deal with thorny penguin issues,Do you identify as a woman?,Unnamed: 10,???
2013-12-26 13:19:15,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,France (not a native English speaker),
2013-12-26 08:27:33,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,,Yes,,
2013-12-26 08:29:01,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,,No,Maryland,
2013-12-26 08:29:11,gender neutral,just men,just men,just men,just men,gender neutral,,No,Illinois,
2013-12-26 08:30:58,just men,just men,just men,just men,just men,just men,,No,Chicago,
2013-12-26 08:31:01,gender neutral,just men,just men,just men,just men,gender neutral,,No,,
2013-12-26 08:33:08,just men,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 08:33:24,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Montreal,
2013-12-26 08:35:33,just men,just men,just men,just men,just men,just men,just men,No,Colombia,
2013-12-26 08:38:17,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Lyon,
2013-12-26 08:38:54,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,India,
2013-12-26 08:40:17,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,North Carolina,
2013-12-26 08:40:29,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,Saskatoon,
2013-12-26 08:40:56,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,London,
2013-12-26 08:42:36,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,just men,Yes,,
2013-12-26 08:45:24,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Switzerland,
2013-12-26 08:48:11,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Australia,
2013-12-26 08:48:36,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Germany,
2013-12-26 08:50:28,gender neutral,just men,gender neutral,just men,gender neutral,gender neutral,just men,No,Stockholm,
2013-12-26 08:52:44,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 08:58:29,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 08:58:45,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Argentina,
2013-12-26 09:00:13,just men,just men,just men,just men,gender neutral,just men,just men,No,Slovenia,
2013-12-26 09:01:22,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Uk,
2013-12-26 09:01:47,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,Madison,
2013-12-26 09:04:07,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,London,
2013-12-26 09:06:22,gender neutral,just men,just men,just men,just men,just men,just men,No,San Francisco,
2013-12-26 09:07:01,gender neutral,just men,just men,just men,just men,just men,just men,No,Montreal,
2013-12-26 09:08:02,gender neutral,just men,just men,just men,just men,just men,just men,No,NY,
2013-12-26 09:09:25,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 09:11:55,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,NYC,
2013-12-26 09:13:23,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 09:14:15,gender neutral,just men,just men,just men,just men,just men,just men,Yes,NYC,
2013-12-26 09:15:39,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 09:15:48,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Nyc,
2013-12-26 09:17:01,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 09:18:37,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Montreal Canada ,
2013-12-26 09:18:53,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No, New  York,
2013-12-26 09:19:37,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Boston,
2013-12-26 09:20:03,gender neutral,gender neutral,gender neutral,gender neutral,just men,gender neutral,gender neutral,Yes,,
2013-12-26 09:24:35,gender neutral,just men,just men,just men,just men,just men,just men,No,Boston,
2013-12-26 09:25:44,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,washington dc,
2013-12-26 09:30:07,just men,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 09:30:38,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,just men,No,Chicago,
2013-12-26 09:30:41,gender neutral,just men,just men,just men,just men,just men,just men,Yes,,
2013-12-26 09:31:05,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,,
2013-12-26 09:32:32,gender neutral,gender neutral,just men,gender neutral,just men,gender neutral,just men,No,Upstate NY,
2013-12-26 09:33:10,gender neutral,just men,just men,just men,just men,just men,just men,Yes,MA,
2013-12-26 09:34:16,gender neutral,just men,gender neutral,just men,just men,gender neutral,just men,No,Paris,
2013-12-26 09:36:33,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,Yes,Montreal,
2013-12-26 09:38:47,gender neutral,just men,just men,just men,just men,just men,just men,Yes,NYC,
2013-12-26 09:39:02,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,gender neutral,No,,
2013-12-26 09:39:19,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,London,
2013-12-26 09:39:37,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,Chicago,
2013-12-26 09:41:59,gender neutral,just men,just men,just men,just men,just men,just men,Yes,NYC,
2013-12-26 09:43:01,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Boston,
2013-12-26 09:44:12,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Seattle,
2013-12-26 09:50:33,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Montenegro,
2013-12-26 09:50:33,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,London ,
2013-12-26 09:53:50,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,Yes,,
2013-12-26 09:55:03,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Chicago,
2013-12-26 09:58:32,gender neutral,just men,just men,just men,just men,just men,just men,Yes,New York City,
2013-12-26 10:00:13,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,brooklyn,
2013-12-26 10:07:38,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,just men,No,Montreal,
2013-12-26 10:12:34,gender neutral,just men,gender neutral,just men,gender neutral,gender neutral,just men,No,usa,
2013-12-26 10:12:45,gender neutral,just men,just men,just men,just men,just men,just men,No,Boston,
2013-12-26 10:14:22,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,Yes,Canada,
2013-12-26 10:14:28,just men,just men,just men,just men,just men,just men,just men,No,KS,
2013-12-26 10:14:40,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Virginia,
2013-12-26 10:14:54,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,San Francisco,
2013-12-26 10:15:44,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 10:16:06,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Connecticut,
2013-12-26 10:16:21,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Toronto,
2013-12-26 10:16:32,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 10:16:36,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 10:17:02,just men,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 10:17:02,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 10:17:05,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,texas,
2013-12-26 10:17:27,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Tallahassee,
2013-12-26 10:17:40,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Austin,
2013-12-26 10:18:11,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,South Africa,
2013-12-26 10:18:21,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 10:18:36,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Oklahoma,
2013-12-26 10:18:55,gender neutral,just men,just men,just men,just men,just men,just men,No,,
2013-12-26 10:19:03,gender neutral,just men,gender neutral,just men,just men,gender neutral,gender neutral,No,,
2013-12-26 10:19:03,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,New York City,
2013-12-26 10:19:28,just men,just men,just men,just men,just men,just men,just men,No,texas,
2013-12-26 10:20:02,gender neutral,just men,just men,just men,gender neutral,just men,just men,No,Finland,
2013-12-26 10:20:12,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,India,
2013-12-26 10:20:59,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,Boston,
2013-12-26 10:21:39,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Sammamish,
2013-12-26 10:21:57,just men,just men,just men,just men,just men,just men,just men,No,Boston,
2013-12-26 10:21:59,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,Yes,,
2013-12-26 10:22:29,gender neutral,just men,just men,gender neutral,just men,gender neutral,gender neutral,No,Poland,
2013-12-26 10:23:34,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,,
2013-12-26 10:23:53,gender neutral,just men,just men,just men,just men,just men,just men,No,San Jose California,
2013-12-26 10:24:14,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,San Francisco,
2013-12-26 10:24:19,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 10:24:42,gender neutral,just men,just men,just men,just men,just men,just men,No,us,
2013-12-26 10:24:48,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 10:25:00,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Ontario,
2013-12-26 10:25:11,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Chicago ,
2013-12-26 10:25:20,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,,
2013-12-26 10:25:29,gender neutral,just men,just men,gender neutral,just men,just men,just men,No,,
2013-12-26 10:25:30,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,US,
